"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Ireland";"Europe";"IRL";"IRL";"skyblue";244850102,141;0,0980993179063689;224;0,000586869259818658
"Israel";"Asia";"ISR";"ISR";"gold";64031345,816;0,0353057944730338;0;0,000584104982384298
"Italy";"Europe";"ITA";"ITA";"skyblue";639718699,953;0,183440989336935;2873;0,000586916636350783
"C̫te d'Ivoire";"Africa";"CIV";"CIV";"tomato";26046254,42;0,00599992979029788;223;0,00057322610937624
"Jamaica";"Americas";"JAM";"JAM";"palegreen3";1058157,43;0,00239876660582911;0;0,000427910353072233
"Japan";"Asia";"JPN";"JPN";"gold";730811014,8;0,355210569079225;448;0,000587650925827133
"Kazakhstan";"Asia";"KAZ";"KAZ";"gold";87240676,464;0,0291828333248128;0;0,00058312437881012
"Jordan";"Asia";"JOR";"JOR";"gold";10364691,546;0,00710062759380818;0;0,000565661603265097
"Kenya";"Africa";"KEN";"KEN";"tomato";8699310,56;0,00582136262639382;0;0,000501508289479227
"Dem. People's Rep. of Korea";"Asia";"PRK";"PRK";"gold";396433,348;0,00102293244656622;0;0,00042249866852573
"Rep. of Korea";"Asia";"KOR";"KOR";"gold";720789276,405;0,332702866880695;670;0,000587700361974293
"Kuwait";"Asia";"KWT";"KWT";"gold";66705091,704;0,0202256641192668;0;0,000581747620363696
"Kyrgyzstan";"Asia";"KGZ";"KGZ";"gold";9711120,708;0,0112990159316399;0;0,000561546508454561
"Lao People's Dem. Rep.";"Asia";"LAO";"LAO";"gold";10696224,595;0,00498732392475231;0;0,000570165591188168
"Lebanon";"Asia";"LBN";"LBN";"gold";2036897,986;0,00234367505504081;0;0,000390963253468575
"Lesotho";"Africa";"LSO";"LSO";"tomato";1101813,236;0,000360591147113281;0;0,000456875568817947
"Latvia";"Europe";"LVA";"LVA";"skyblue";19748571,706;0,00349436167370243;0;0,000547491384595014
"Liberia";"Africa";"LBR";"LBR";"tomato";2434599,778;0,00813317959119805;0;0,000511218941008356
"Libya";"Africa";"LBY";"LBY";"tomato";30492348,843;0,00744729137399145;447;0,000576875916858721
"Lithuania";"Europe";"LTU";"LTU";"skyblue";39786270,82;0,00865033231798321;446;0,000567265366065085
"Luxembourg";"Europe";"LUX";"LUX";"skyblue";18070436,652;0,00650078130489757;0;0,000566480092995288
"China, Macao SAR";"Asia";"MAC";"MAC";"gold";2016272,224;0,00345357828941582;0;0,00054007566855295
"Madagascar";"Africa";"MDG";"MDG";"tomato";3468695,898;0,00169125531766096;0;0,000485026407637995
"Malawi";"Africa";"MWI";"MWI";"tomato";1002022,244;0,00052197860398546;0;0,000282465213962601
"Malaysia";"Asia";"MYS";"MYS";"gold";407611729,089;0,169721820951703;670;0,000587393902240289
"Maldives";"Asia";"MDV";"MDV";"gold";278847,348;0,00075691155290522;0;0,000244639930997793
"Mali";"Africa";"MLI";"MLI";"tomato";1252645,123;0,00075760287683855;0;0,000414420980537716
"Malta";"Europe";"MLT";"MLT";"skyblue";7085315,914;0,00399646595172554;0;0,000513695958123002
"Mauritania";"Africa";"MRT";"MRT";"tomato";4748117,316;0,00190097496651469;0;0,000535067581714434
"Mauritius";"Africa";"MUS";"MUS";"tomato";2551781,579;0,00141018696348586;0;0,000401414742153871
"Mexico";"Americas";"MEX";"MEX";"palegreen3";650272340,335;0,528926877108088;0;0,000587673181197964
"Other Asia, nes";"Asia";NA;"Oth";"gold";526138617,022;0,229979268120298;224;0,000587529547903801
"Mongolia";"Asia";"MNG";"MNG";"gold";14797284,638;0,00940769613265881;0;0,00058266060350338
"Rep. of Moldova";"Europe";"MDA";"MDA";"skyblue";4299604,63;0,00148745119715843;0;0,000529842696457609
"Montenegro";"Europe";"MNE";"MNE";"skyblue";1254358,524;0,000630504572615519;0;0,000423014080909337
"Montserrat";"Americas";"MSR";"MSR";"palegreen3";10559,466;9,97581848275534e-06;0;2,40093711849004e-05
"Morocco";"Africa";"MAR";"MAR";"tomato";67541630,203;0,0220102228379298;0;0,000580904408435553
"Mozambique";"Africa";"MOZ";"MOZ";"tomato";13464160,018;0,0039840479231929;0;0,00055782529905461
"Oman";"Asia";"OMN";"OMN";"gold";69632323,342;0,0242357211680891;0;0,000585792571023482
"Namibia";"Africa";"NAM";"NAM";"tomato";8024762,76;0,00232928263555207;0;0,000548572811905255
"Nauru";"Oceania";"NRU";"NRU";"orchid";202264,597;3,11322099051208e-05;0;0,000306826795646527
"Nepal";"Asia";"NPL";"NPL";"gold";1239178,159;0,00217288476363891;0;0,000509457768941707
"Netherlands";"Europe";"NLD";"NLD";"skyblue";582982633,797;0,212154057983805;1178;0,000587005549964752
"Cura̤ao";"Americas";"CUW";"CUW";"palegreen3";322489,741;0,000560636600512896;0;0,00037090151756188
"Aruba";"Americas";"ABW";"ABW";"palegreen3";153607,062;0,000475614354397536;0;0,000254300003628003
"Saint Maarten";"Americas";"SXM";"SXM";"palegreen3";14210,304;0,000418050881594047;0;1,44724778743587e-05
"Bonaire";"Americas";"BES";"BES";"palegreen3";9130,476;0,000105424999153294;0;2,17265749212791e-05
"New Caledonia";"Oceania";"NCL";"NCL";"orchid";1374477,209;0,000677684540097975;0;0,000497184916979957
