"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Italy";"Europe";"ITA";"ITA";"skyblue";581309156,756;0,183406407360985;2017;0,00685303313866823
"CÃ´te d'Ivoire";"Africa";"CIV";"CIV";"tomato";16227745,843;0,00582488420575698;169;0,00511003763649984
"Jamaica";"Americas";"JAM";"JAM";"palegreen3";4350296,786;0,0021849015961031;0;0,00479079701276984
"Japan";"Asia";"JPN";"JPN";"gold";710787480,181;0,355194106790855;0;0,00689798000241833
"Kazakhstan";"Asia";"KAZ";"KAZ";"gold";67661916,662;0,0290428033786236;0;0,00659530612281812
"Jordan";"Asia";"JOR";"JOR";"gold";18454994,336;0,00677130624611372;0;0,00557887560131461
"Kenya";"Africa";"KEN";"KEN";"tomato";22425809,779;0,00558272882114386;0;0,00586702745789795
"Dem. People's Rep. of Korea";"Asia";"PRK";"PRK";"gold";1816432,237;0,0010195147134242;0;0,00425228846961518
"Rep. of Korea";"Asia";"KOR";"KOR";"gold";611629340,794;0,332688947795387;341;0,00688622893231955
"Kuwait";"Asia";"KWT";"KWT";"gold";35489981,347;0,0201357861403539;0;0,00593977977936431
"Kyrgyzstan";"Asia";"KGZ";"KGZ";"gold";26784435,111;0,0111094333992777;0;0,00651921260605741
"Lao People's Dem. Rep.";"Asia";"LAO";"LAO";"gold";8114585,842;0,00478907295043891;0;0,00554267242124172
"Lebanon";"Asia";"LBN";"LBN";"gold";12222196,538;0,00213763634488498;0;0,00451352589153728
"Lesotho";"Africa";"LSO";"LSO";"tomato";1694375,644;0,00030774013225244;0;0,00378443649954868
"Latvia";"Europe";"LVA";"LVA";"skyblue";21204627,41;0,00327328318973341;0;0,004706008693326
"Liberia";"Africa";"LBR";"LBR";"tomato";22083050,413;0,00792153605944253;0;0,00641269760277719
"Libya";"Africa";"LBY";"LBY";"tomato";19411714,229;0,00731660115180469;383;0,00524405465318843
"Lithuania";"Europe";"LTU";"LTU";"skyblue";41455950,605;0,00843240352790879;360;0,0057327129565894
"Luxembourg";"Europe";"LUX";"LUX";"skyblue";24847833,519;0,00625754449741586;0;0,0058709485667235
"China, Macao SAR";"Asia";"MAC";"MAC";"gold";10565533,77;0,00322822579318034;0;0,00542510760914632
"Madagascar";"Africa";"MDG";"MDG";"tomato";3745186,036;0,00136828923485425;0;0,00370621355557355
"Malawi";"Africa";"MWI";"MWI";"tomato";2037971,711;0,000311584327005387;0;0,00213769349654125
"Malaysia";"Asia";"MYS";"MYS";"gold";301049998,811;0,169693939731653;170;0,00683541311182483
"Maldives";"Asia";"MDV";"MDV";"gold";3213215,028;0,000616780739840103;0;0,00304686452681452
"Mali";"Africa";"MLI";"MLI";"tomato";4669522,089;0,000575052598002337;0;0,0034084756244518
"Malta";"Europe";"MLT";"MLT";"skyblue";13730348,009;0,003781877382717;0;0,00515104084329271
"Mauritania";"Africa";"MRT";"MRT";"tomato";3677990,44;0,00166265012561378;0;0,00327621672242867
"Mauritius";"Africa";"MUS";"MUS";"tomato";4462503,899;0,00111320727106756;0;0,00368375118004678
"Mexico";"Americas";"MEX";"MEX";"palegreen3";561913758,59;0,528942145122774;0;0,00693796118221247
"Other Asia, nes";"Asia";NA;"Oth";"gold";346756072,637;0,229952992718765;0;0,00683499560519512
"Mongolia";"Asia";"MNG";"MNG";"gold";7046431,553;0,009277416160443;0;0,00550292803014668
"Rep. of Moldova";"Europe";"MDA";"MDA";"skyblue";7670560,95;0,00116359881193786;0;0,00403002782732656
"Montenegro";"Europe";"MNE";"MNE";"skyblue";3789208,376;0,000434166640515411;0;0,00328746906890267
"Morocco";"Africa";"MAR";"MAR";"tomato";85115108,211;0,0219019975507522;0;0,00630365164024959
"Mozambique";"Africa";"MOZ";"MOZ";"tomato";14101039,387;0,00376617156790102;0;0,00562732428426698
"Oman";"Asia";"OMN";"OMN";"gold";23215842,682;0,0240906467069171;0;0,0057565766784815
"Namibia";"Africa";"NAM";"NAM";"tomato";7221132,271;0,00209970084743223;0;0,00504101122690446
"Nepal";"Asia";"NPL";"NPL";"gold";9350644,155;0,00192627326696351;0;0,00593638338600223
"Netherlands";"Europe";"NLD";"NLD";"skyblue";687774087,258;0,212128737493771;784;0,0068858564044362
"CuraÃ§ao";"Americas";"CUW";"CUW";"palegreen3";1110745,986;0,000465879028181913;0;0,00276530194480491
"Aruba";"Americas";"ABW";"ABW";"palegreen3";849214,414;0,000397635665144517;0;0,00253013073911276
"Saint Maarten";"Americas";"SXM";"SXM";"palegreen3";713275,633;0,000394727831680486;0;0,00259960219204247
"Bonaire";"Americas";"BES";"BES";"palegreen3";486995,129;7,2742980083706e-05;0;0,00128417881816291
"New Caledonia";"Oceania";"NCL";"NCL";"orchid";1212174,523;0,000512039358249157;0;0,00257406105817715
"Vanuatu";"Oceania";"VUT";"VUT";"orchid";182064,08;0,000103519674809792;0;0,000927285183622831
"New Zealand";"Oceania";"NZL";"NZL";"orchid";44999855,014;0,022287411623287;0;0,00620379976696037
"Nicaragua";"Americas";"NIC";"NIC";"palegreen3";9923985,843;0,00537986119175951;0;0,00492821946609606
"Niger";"Africa";"NER";"NER";"tomato";689073,623;0,000506556394980294;0;0,00152342879189644
"Nigeria";"Africa";"NGA";"NGA";"tomato";48426908,735;0,0222814102382465;0;0,0064739521205258
"Norway";"Europe";"NOR";"NOR";"skyblue";98298290,807;0,0399306769838693;1;0,00630889603358893
"Marshall Isds";"Oceania";"MHL";"MHL";"orchid";11944717,664;0,00353878081181723;0;0,00582323261152516
"Pakistan";"Asia";"PAK";"PAK";"gold";62473797,351;0,0194477978432787;0;0,00653598921032472
"Panama";"Americas";"PAN";"PAN";"palegreen3";42809496,12;0,0115844997457528;0;0,00622244621955888
"Papua New Guinea";"Oceania";"PNG";"PNG";"orchid";4954553,406;0,00389973846453197;0;0,00394974823298002
"Paraguay";"Americas";"PRY";"PRY";"palegreen3";15381776,878;0,00485323423642023;0;0,0057384764591547
"Peru";"Americas";"PER";"PER";"palegreen3";52073996,403;0,0370202200860576;0;0,00646354390286666
"Philippines";"Asia";"PHL";"PHL";"gold";139727904,497;0,0592429738338882;0;0,00674425244366952
"Poland";"Europe";"POL";"POL";"skyblue";399475766,125;0,11955863676344;906;0,00685246154308907
"Portugal";"Europe";"PRT";"PRT";"skyblue";111996467,919;0,0259182337365249;171;0,00660817517475064
"Guinea-Bissau";"Africa";"GNB";"GNB";"tomato";0;2,25502050153321e-05;0;NA
"Timor-Leste";"Asia";"TLS";"TLS";"gold";651989,921;0,000152332247138222;0;0,00169100621512917
"Qatar";"Asia";"QAT";"QAT";"gold";35125907,048;0,0259046648928502;0;0,00566918587835859
"Romania";"Europe";"ROU";"ROU";"skyblue";137101659,72;0,0299533100835638;362;0,00663407933996106
"Russian Federation";"Europe";"RUS";"RUS";"skyblue";199526898,584;0,142042352278679;169;0,00687345152302068
"Rwanda";"Africa";"RWA";"RWA";"tomato";1256338,215;0,000318150342869014;0;0,00211009771954446
"Saint Kitts and Nevis";"Americas";"KNA";"KNA";"palegreen3";141478,24;7,8294275482661e-05;0;0,000735694614022052
"Saint Lucia";"Americas";"LCA";"LCA";"palegreen3";912135,816;0,000504777362621318;0;0,0030111250752492
"Saudi Arabia";"Asia";"SAU";"SAU";"gold";220645793,208;0,107449019180048;934;0,00680574363868917
"Senegal";"Africa";"SEN";"SEN";"tomato";14089130,831;0,00349355328364588;0;0,00523755813741156
"Serbia";"Europe";"SRB";"SRB";"skyblue";40426288,074;0,00880828635484078;170;0,00564914457435313
"Seychelles";"Africa";"SYC";"SYC";"tomato";528722,115;5,01538792904665e-05;0;0,00214544718157043
"Sierra Leone";"Africa";"SLE";"SLE";"tomato";1152014,625;0,000890286829786297;0;0,00282579005062303
"India";"Asia";"IND";"IND";"gold";688381978,147;0,204481347299331;2392;0,00689632818625421
"Singapore";"Asia";"SGP";"SGP";"gold";423312086,149;0,148876302372797;170;0,00680832505204423
"Slovakia";"Europe";"SVK";"SVK";"skyblue";111150429,391;0,0312902875956311;0;0,00652405210708209
"Viet Nam";"Asia";"VNM";"VNM";"gold";374952124,077;0,265316926893092;0;0,00689371321049787
"Slovenia";"Europe";"SVN";"SVN";"skyblue";69509280,641;0,0160440190331965;0;0,00642140892016263
"Somalia";"Africa";"SOM";"SOM";"tomato";2282019,668;0,000599853199644276;0;0,00314749142014366
"South Africa";"Africa";"ZAF";"ZAF";"tomato";98930498,945;0,0495863143059329;1745;0,0065932234656006
"Zimbabwe";"Africa";"ZWE";"ZWE";"tomato";8279856,283;0,00203103269373372;0;0,00512642568161596
"Spain";"Europe";"ESP";"ESP";"skyblue";455509588,477;0,124829000725;1071;0,00681292770642526
"South Sudan";"Africa";"SSD";"SSD";"tomato";876060,434;0,000235020242255891;0;0,0018154586734525
"Sudan";"Africa";"SDN";"SDN";"tomato";3035638,827;0,000932577182430652;0;0,00287548824793829
"Suriname";"Americas";"SUR";"SUR";"palegreen3";957975,698;0,000504319040048689;0;0,00162706397273317
"Eswatini";"Africa";"SWZ";"SWZ";"tomato";1689392,802;8,73593466534846e-05;0;0,00396477172662348
"Sweden";"Europe";"SWE";"SWE";"skyblue";178790837,869;0,0535828165535208;2;0,00667106968775774
"Switzerland";"Europe";"CHE";"CHE";"skyblue";382738978,098;0,146811469274211;1696;0,00683453116081118
"Syria";"Asia";"SYR";"SYR";"gold";3043459,386;0,000324852721562034;0;0,00446866333973004
"Tajikistan";"Asia";"TJK";"TJK";"gold";5817407,668;0,00196786417675101;0;0,0052694427845528
"Thailand";"Asia";"THA";"THA";"gold";288481771,167;0,149621662490332;361;0,00685036614247113
"Togo";"Africa";"TGO";"TGO";"tomato";9857119,154;0,00246509050345126;0;0,00513458315343327
"Trinidad and Tobago";"Americas";"TTO";"TTO";"palegreen3";4438182,327;0,00452027856502548;0;0,00483351482468617
"United Arab Emirates";"Asia";"ARE";"ARE";"gold";306618033,152;0,112345987218916;1313;0,00683619887215111
"Tunisia";"Africa";"TUN";"TUN";"tomato";24044637,28;0,00669914326187805;0;0,00509165635977767
"TÃ¼rkiye";"Asia";"TUR";"TUR";"gold";312267184,394;0,0816136118092354;1170;0,00677233556947606
"Turkmenistan";"Asia";"TKM";"TKM";"gold";2717044,201;0,0052479339787775;0;0,00329373300818321
"Turks and Caicos Isds";"Americas";"TCA";"TCA";"palegreen3";401836,65;0,000222377019774416;0;0,00174957574113364
"Uganda";"Africa";"UGA";"UGA";"tomato";12148018,963;0,00243160150231924;361;0,00486376685434748
"Ukraine";"Europe";"UKR";"UKR";"skyblue";69178874,23;0,0167011212983726;0;0,00635110048493574
"North Macedonia";"Europe";"MKD";"MKD";"skyblue";10574160,886;0,00238870969337464;0;0,00365415177205572
"Egypt";"Africa";"EGY";"EGY";"tomato";96802474,481;0,0220612707939885;0;0,0064917423525407
"United Kingdom";"Europe";"GBR";"GBR";"skyblue";750428362,999;0,224313834082774;170;0,00688473625750992
"United Rep. of Tanzania";"Africa";"TZA";"TZA";"tomato";18582351,564;0,0050952074021399;0;0,00582529802104993
"USA";"Americas";"USA";"USA";"palegreen3";3129791542,85;1;12545;0,00696701087281356
"Burkina Faso";"Africa";"BFA";"BFA";"tomato";4128648,322;0,00134615211512131;0;0,00319974300028903
"Uruguay";"Americas";"URY";"URY";"palegreen3";10856445,367;0,00485944068661887;0;0,0049675453120386
"Uzbekistan";"Asia";"UZB";"UZB";"gold";35872547,082;0,00994341393823668;0;0,00629273447116773
"Venezuela";"Americas";"VEN";"VEN";"palegreen3";12382722,129;0,00948980925213753;0;0,00557228638264541
"Yemen";"Asia";"YEM";"YEM";"gold";7188982,113;0,00157200857382821;0;0,00480539080120517
"Zambia";"Africa";"ZMB";"ZMB";"tomato";10225702,102;0,00362994762043869;0;0,00486155891863333
