"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Aruba";"Americas";"ABW";"ABW";"palegreen3";1289048,211;0,000475614354397536;0;4,01140479445316e-05
"Saint Maarten";"Americas";"SXM";"SXM";"palegreen3";912848,913;0,000418050881594047;0;4,06083314069136e-05
"Bonaire";"Americas";"BES";"BES";"palegreen3";726051,68;0,000105424999153294;0;3,96142312450277e-05
"New Caledonia";"Oceania";"NCL";"NCL";"orchid";1709147,658;0,000677684540097976;0;4,0108557923951e-05
"Vanuatu";"Oceania";"VUT";"VUT";"orchid";528528,631;0,000160849108927615;0;3,8697783551422e-05
"New Zealand";"Oceania";"NZL";"NZL";"orchid";46838437,887;0,0223907598165574;448;4,05960962791687e-05
"Nicaragua";"Americas";"NIC";"NIC";"palegreen3";11394370,968;0,00561792045934538;0;4,05058275198249e-05
"Niger";"Africa";"NER";"NER";"tomato";1678540,614;0,00064014387584032;0;3,95491228177648e-05
"Nigeria";"Africa";"NGA";"NGA";"tomato";50981849,703;0,0224179710276507;0;4,06106435915224e-05
"Niue";"Oceania";"NIU";"NIU";"orchid";36376,78;5,20532144546622e-06;0;2,78451601196098e-05
"Norfolk Isds";"Oceania";"NFK";"NFK";"orchid";36949,369;2,57744915540219e-06;0;2,44337750021509e-05
"Norway";"Europe";"NOR";"NOR";"skyblue";100831074,418;0,0400117676038376;1;4,0601897542591e-05
"N. Mariana Isds";"Oceania";"MNP";"MNP";"orchid";135366,188;1,40183902809185e-05;0;3,72698177233151e-05
"FS Micronesia";"Oceania";"FSM";"FSM";"orchid";158960,43;0,000111650671569836;0;3,32920540440686e-05
"Marshall Isds";"Oceania";"MHL";"MHL";"orchid";12773468,287;0,00367036802254216;0;4,05709876381646e-05
"Palau";"Oceania";"PLW";"PLW";"orchid";172450,618;4,48738932541067e-05;0;3,35026141777748e-05
"Pakistan";"Asia";"PAK";"PAK";"gold";64689464,399;0,0195587854734111;448;4,06145914299422e-05
"Panama";"Americas";"PAN";"PAN";"palegreen3";44565783,142;0,011828505148214;0;4,05961444567392e-05
"Papua New Guinea";"Oceania";"PNG";"PNG";"orchid";5475513,398;0,00406832677080529;0;4,03974969014671e-05
"Paraguay";"Americas";"PRY";"PRY";"palegreen3";17493380,729;0,00514392956908124;0;4,05676673579409e-05
"Peru";"Americas";"PER";"PER";"palegreen3";54482647,595;0,0371564512111981;0;4,06101734351804e-05
"Philippines";"Asia";"PHL";"PHL";"gold";141852070,317;0,059306976251736;0;4,06241429284242e-05
"Pitcairn";"Oceania";"PCN";"PCN";"orchid";4192,576;8,95324588957885e-07;0;6,82743632218689e-06
