"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Brazil";"Americas";"BRA";"BRA";"palegreen3";284789110,624;0,150630285827575;801;0,00244237735887996
"Belize";"Americas";"BLZ";"BLZ";"palegreen3";319032,183;0,000648099079810732;0;0,000485187013199877
"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";562200,183;0,000321567112803732;0;0,0010968419370574
"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";151867,565;0,000334473364071221;0;0,000236555639047844
"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";9962657,196;0,00288924155100173;0;0,00198442657828119
"Bulgaria";"Europe";"BGR";"BGR";"skyblue";40050727,567;0,0101179945794406;0;0,00229163210462574
"Myanmar";"Asia";"MMR";"MMR";"gold";14810847,985;0,0085929396364536;0;0,00224533295718318
"Burundi";"Africa";"BDI";"BDI";"tomato";45523,842;6,40216423245363e-05;0;0,000108497501269371
"Belarus";"Europe";"BLR";"BLR";"skyblue";4681510,914;0,00464935993970137;0;0,00192737092315556
"Cambodia";"Asia";"KHM";"KHM";"gold";28999181,008;0,0187071514128971;0;0,00235505988082642
"Cameroon";"Africa";"CMR";"CMR";"tomato";5855095,641;0,00308434107091685;201;0,00180745532144214
"Canada";"Americas";"CAN";"CAN";"palegreen3";490372154,334;0,453462439499006;0;0,00244514439742067
"Cabo Verde";"Africa";"CPV";"CPV";"tomato";80483,787;9,27773062838416e-05;0;0,00021979021664186
"Cayman Isds";"Americas";"CYM";"CYM";"palegreen3";1809850,568;0,00143157100252103;0;0,00191655966663051
"Central African Rep.";"Africa";"CAF";"CAF";"tomato";196818,068;0,000146559941092759;0;0,000273220725522663
"Sri Lanka";"Asia";"LKA";"LKA";"gold";9851412,861;0,0059036349110129;0;0,00211227303665152
"Chad";"Africa";"TCD";"TCD";"tomato";3231688,523;0,000989627726428184;0;0,00164329417422755
"Chile";"Americas";"CHL";"CHL";"palegreen3";83175350,897;0,0530993647737765;0;0,00242335608677416
"China";"Asia";"CHN";"CHN";"gold";3604882424,531;0,850430637034411;31350;0,00245480719248704
"Colombia";"Americas";"COL";"COL";"palegreen3";39909908,173;0,0307996816519065;0;0,00236756171746903
"Comoros";"Africa";"COM";"COM";"tomato";38740,05;5,81482119054277e-05;0;7,64983791244053e-05
"Congo";"Africa";"COG";"COG";"tomato";7192902,427;0,00324827068864918;0;0,00219905440792719
"Dem. Rep. of the Congo";"Africa";"COD";"COD";"tomato";22093937,542;0,0125759776002981;0;0,00240102901186106
"Cook Isds";"Oceania";"COK";"COK";"orchid";30553,659;2,26910051095368e-05;0;6,14528855579743e-05
"Costa Rica";"Americas";"CRI";"CRI";"palegreen3";17233994,415;0,0138286959699163;0;0,00233162146402047
"Croatia";"Europe";"HRV";"HRV";"skyblue";18655327,481;0,00636457691819513;0;0,00210020812052949
"Cuba";"Americas";"CUB";"CUB";"palegreen3";687135,341;0,000938150549135809;0;0,000866918912930959
"Cyprus";"Asia";"CYP";"CYP";"gold";3977205,683;0,00158602098597645;201;0,00148347530992986
"Czechia";"Europe";"CZE";"CZE";"skyblue";213044943,125;0,0694844555466038;201;0,00243071820092492
"Benin";"Africa";"BEN";"BEN";"tomato";1176237,988;0,000800400915645974;0;0,00117634292643989
"Denmark";"Europe";"DNK";"DNK";"skyblue";88699377,144;0,0350515755092335;402;0,00237741965373351
"Dominican Rep.";"Americas";"DOM";"DOM";"palegreen3";11490206,608;0,0159107313574627;0;0,00230144161116187
"Ecuador";"Americas";"ECU";"ECU";"palegreen3";31230353,301;0,0175120128446088;0;0,00231581259777752
"El Salvador";"Americas";"SLV";"SLV";"palegreen3";5601021,023;0,00555427289739018;0;0,00198239446605695
"Equatorial Guinea";"Africa";"GNQ";"GNQ";"tomato";2559346,432;0,000764790646698863;0;0,00164935536863662
"Ethiopia";"Africa";"ETH";"ETH";"tomato";2330212,143;0,00252507990274741;0;0,00111045662182772
"Eritrea";"Africa";"ERI";"ERI";"tomato";549624,454;0,000336454549253205;0;0,00117895213734542
"Estonia";"Europe";"EST";"EST";"skyblue";15176454,007;0,0039263905379842;0;0,00197100570807733
"Falkland Isds (Malvinas)";"Americas";"FLK";"FLK";"palegreen3";330792,459;5,07822957756551e-05;0;0,000834990116563823
"Fiji";"Oceania";"FJI";"FJI";"orchid";921656,817;0,000831161518492661;201;0,0010660565055308
"Finland";"Europe";"FIN";"FIN";"skyblue";62782845,458;0,0214185130045102;199;0,00231906964689979
