"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Dem. Rep. of the Congo";"Africa";"COD";"COD";"tomato";29026469,212;0,0134588466188037;0;0,00760543087847144
"Costa Rica";"Americas";"CRI";"CRI";"palegreen3";21997575,04;0,0145928398084371;0;0,00699465995319909
"Croatia";"Europe";"HRV";"HRV";"skyblue";21954039,139;0,006956404986851;0;0,00535607842611017
"Cuba";"Americas";"CUB";"CUB";"palegreen3";270281,889;0,000888793440807889;0;0,00122894725661672
"Cyprus";"Asia";"CYP";"CYP";"gold";2703091,833;0,00159422626076964;186;0,00270340464398059
"Czechia";"Europe";"CZE";"CZE";"skyblue";242365153,222;0,0750495494448944;0;0,00788690680489914
"Benin";"Africa";"BEN";"BEN";"tomato";1001439,266;0,000740961482341404;0;0,00187687517388735
"Denmark";"Europe";"DNK";"DNK";"skyblue";116056996,254;0,0382883249199694;359;0,00738979495260581
"Dominican Rep.";"Americas";"DOM";"DOM";"palegreen3";12528717,75;0,0163145989030457;0;0,0067487492212541
"Ecuador";"Americas";"ECU";"ECU";"palegreen3";37930811,571;0,0181193113747091;0;0,00686484744896922
"El Salvador";"Americas";"SLV";"SLV";"palegreen3";5601021,023;0,00576150513896569;0;0,00469699845883948
"Equatorial Guinea";"Africa";"GNQ";"GNQ";"tomato";3742952,302;0,000873906955279516;0;0,00325966331838281
"Ethiopia";"Africa";"ETH";"ETH";"tomato";1658927,088;0,00247004020438532;0;0,00172539991056869
"Eritrea";"Africa";"ERI";"ERI";"tomato";451785,818;0,000289425639549347;0;0,00188430050569661
"Estonia";"Europe";"EST";"EST";"skyblue";17771609,454;0,00447337167597027;0;0,00463935521160675
"Falkland Isds (Malvinas)";"Americas";"FLK";"FLK";"palegreen3";255053,607;1,76192431905208e-05;0;0,00115527190964312
"Fiji";"Oceania";"FJI";"FJI";"orchid";547941,577;0,00073441538675894;0;0,00161836983443397
"Finland";"Europe";"FIN";"FIN";"skyblue";77740403,967;0,0239538118477073;184;0,0068911938827217
"France";"Europe";"FRA";"FRA";"skyblue";633014816,045;0,219571083495515;1060;0,00790741499148606
"French Polynesia";"Oceania";"PYF";"PYF";"orchid";0;0,000166426337972209;0;NA
"Djibouti";"Africa";"DJI";"DJI";"tomato";0;0,00163224992332133;0;NA
"Gabon";"Africa";"GAB";"GAB";"tomato";7333746,82;0,00234275987837376;0;0,00538141594855566
"Georgia";"Asia";"GEO";"GEO";"gold";1332546,231;0,00188387889586296;0;0,0022945906251225
"Gambia";"Africa";"GMB";"GMB";"tomato";0;0,000223821723785655;0;NA
"State of Palestine";"Asia";"PSE";"PSE";"gold";0;0,000114650386579013;0;NA
"Germany";"Europe";"DEU";"DEU";"skyblue";1549480257,679;0,431420619898916;10801;0,00804653854764294
"Ghana";"Africa";"GHA";"GHA";"tomato";14720999,35;0,0085160314688714;0;0,00586917121910474
